stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
George Coulouris,Coulouris,George,M,explosive roles,1933,1980,1903,1989,Great Britain,,,,,,
Carolyn Courage,,,F,,,,,,,,,,,,
Hazel Court,Court,Hazel,F,scary beauty,1944,1964,1926,,Great Britain,,,,,,
Tom Courtenay,Courtenay,Tom,M,under-privleged roles,1963,1983,1937,,Great Britain,,,,,,
Cicely Courtneige,Courtneige,Dame Cicely,F,sr,1931,1941,,,,,,,,,
Maggie CousineauArndt,,,F,,,,,,,,,,,,
Jerome Cowan,Cowan,Jerome,M,easy manner,1941,1969,1897,1972,USA,,,,,,
Herbert `Cowboy' Coward,,,M,,,,,,,,,,,,
Noel Coward,Coward,Sir Noel,M,bright,1918,1969,1899,1973,Great Britain,,,,,,
Ronny Cox,Cox,Ronny,M,character,1972,1974,1938,,USA,,,,,,
Ruth Cox,,,F,,,,,,,,,,,,
Wally Cox,Cox,Wally,M,bespectacled, weedy,1952,,1924,1973,USA,,,,,
Peter Coyote,,,M,,,,,,,,,,,,
Buster Crabbe,Crabbe,Clarence Linden,M,lead,1933,1955,1907,1983,USA,,,,,,
Donald Crabtree,,,M,,,,,,,,,,,,
James Craig,Meador,John,M,good-natured tough outdoor type,1937,1967,1912,,USA,,,,,,
Michael Craig,Gregson,Michael,M,light lead,1953,1977,1928,,Great Britain,,,,,,
Wendy Craig,Craig,Wendy,F,comedy,1963,1977,1934,,Great Britain,,,,,,
Jack Crain,,,M,,,,,,,,,,,,
Jeanne Crain,Crain,Jeanne,F,sweet and light,1943,1972,1925,,USA,,,,,,
Grant Cramer,,,M,,,,,,,,,,,,
Norma Crane,,,F,floozy,,,,,,,,,,,
Nick Cravat,Cravat,Nick,M,small, agile,1951,,1911,,USA,,,,,
Frank Craven,Craven,Frank,M,kindly pope-smoking philosopher,1928,1945,1875,1945,USA,,,,,,
Gemma Craven,Craven,Gemma,F,lead,1976,1979,1950,,Ireland,,,,,,
Andrew Crawford,Crawford,Andrew,M,character,1946,1961,1917,,Great Britain,,,,,,
Broderick Crawford,Crawford,Broderick,M,character,1937,1970,1910,1986,USA,,,,,,
Joan Crawford,leSueur,Lucille,F,flapper, career girl, repressed older woman,1969,[4.680],1906,1977,USA,,,,
John Crawford,Crawford,John,M,forgettable,1950,1964,,,USA,,,,,,
Michael Crawford,Crawford,Michael,M,lively,1950,1979,1942,,Great Britain,,,,,,
Laird Cregar,Cregar,Laird,M,heavyweight,1940,1940,1916,1944,USA,,,,,,
Plett Creighton,,,M,,,,,,,,,,,,
Jack Creley,,,M,,,,,,,,,,,,
Richard Crenna,Crenna,Richard,M,lead,1952,1983,1926,,USA,,,,,,
Robert Crenna,,,M,,,,,,,,,,,,
Laura Hope Crews,Crews,Laura Hope,F,character,1929,1941,1880,1942,USA,,,,,,
Bernard Cribbins,Cribbins,Bernard,M,comedy character,1960,1978,1928,,,,,,,,
Michael Crichton,Crichton,Michael,,,1973,1981,,,Great Britain,,,,,,
Lou Crisoula,,,M,,,,,,,,,,,,
Donald Crisp,Crisp,Donald,M,stern character,1914,1963,1880,1974,Great Britain,,,,,,
Linda Cristal,Maya,Victoria,F,lead,1956,1971,1936,,Argentina,,,,,,
Barry Crocker,Crocker,Barry,M,lead,1969,1974,,,Australia,,,,,,
Dick Crockett,,,M,,,,,,,,,,,,
Richard Cromwell,Radebaugh,Roy,M,gentle hero,1930,1942,1910,1960,USA,,,,,,
Hume Cronyn,Blake,Hume,M,character,1943,1981,1911,,Canada,,,,,,
Bing Crosby,Crosby,Harry Lillis,M,crooner,1930,1970,1904,1977,USA,,,,,,
Cathy Lee Crosby,,,F,,,,,,,,,,,,
Harry Crosby,Crosby,Harry,M,,1980,,,,,,,,,,
Kim Crosby,,,F,roundfaced,1989,,,,,,,,,,
Lindsay Crosby,,,M,,,,1938,,,,,,,,
Mary Crosby,,,F,,,,,,,,,,,,
Henrietta Crosman,Crosman,Henrietta,F,,1914,1937,1861,1944,USA,,,,,,
Ben Cross,Cross,Ben,M,lugubrious countenance,1981,1991,1948,,Great Britain,,,,,,
Rupert Crosse,Crosse,Rupert,M,,1968,1968,1927,1973,USA,,,,,,
Scatman Crothers,Crothers,Scatman,M,comedy,1956,1983,,1986,USA,,,,,,
Lindsay Crouse,,,F,capable,1990,,,,USA,,,,,,
Pat Crowley,Crowley,Pat,F,lead,1953,1975,1929,,USA,,,,,,
Andrew Cruickshank,Cruickshank,Andrew,M,doctor or judge,1937,1966,1907,1988,Great Britain,,,,,,
Tom Cruise,Mapother,Tom Cruise IV,M,hero,1981,1989,784],1961,,USA,,,,,
Rosalie Crutchley,Crutchley,Rosalie,F,lean-featured,1947,1972,1921,,Great Britain,,,,,,
James Cruze,Bosen,Jens Cruz,M,silent screen,1911,1918,1884,1942,USA,,,,,,
Billy Crystal,Crystal,Billy,M,likable,1977,1992,1948,,USA,,,,,,
Riccardo Cucciola,Cucciola,Riccardo,M,lead,1965,1971,1932,,Italy,,,,,,
Macaulay Culkin,Culkin,Macaulay,M,imaginative child,1989,1993,1980,,USA,,,,,,
Kieran Culkin,Culkin,Kieran,M,child,1993,,1982,,USA,,,,,,
John Cullum,,,M,,,,,,,,,,,,
Robert Culp,Culp,Robert,M,lead,1962,1982,1930,,USA,,,,,,
Roland Culver,Culver,Roland,M,impeccable, comic,1932,,1900,1984,Great Britain,,,,,
Dorothy Cumming,Cors.,Ruth Cumming,F,solid, Spanish,1927,,,,USA,,,,,
Constance Cummings,Halverstadt,Constance,M,,1931,1963,1910,,USA,,,,,,
Bob Cummings,Cummings,Robert,M,boyish,1935,1973,1908,1990,USA,,,,,,
Quinn Cummings,,,M,,1980,,,,,,,,,,
Susan Cummings,,,F,,1955,,,,,,,,,,
Peggy Cummins,,,F,,1948,,,,,,,,,,
Cecil Cunningham,Cunningham,Cecil,F,hard or wisecracking,1929,1948,1888,1959,USA,,,,,,
John Cunningham,,,M,,,,,,,,,,,,
Alain Cuny,Cuny,Alain,M,tall, imposing,1942,,1908,1994,France,,,,,
Lee Curreri,,,,,,,,,,,,,,,
Finlay Currie,Jefferson,Finlay,M,,1932,1965,1878,1968,Great Britain,,,,,,
Michael Currie,,,M,,,,,,,,,,,,
Sondra Currie,,,F,,,,,,,,,,,,
Steve Curry,,,M,,,,,,,,,,,,
Tim Curry,Curry,Tim,M,wide-range,1974,1983,1946,,Great Britain,,,,,,
Jane Curtin,,,F,,,,,,,,,,,,
Valerie Curtin,,,F,,,,,,,,,,,,
Alan Curtis,Curtis,Alan,M,lead,1936,1950,1909,1953,USA,,,,,,
Jamie Lee Curtis,Curtis,Jamie Lee,F,,1978,1988,1958,,USA,,,,,,
Kelly Curtis,Curtis,Kelly,F,lesbian,1990,,,,Am,,,,,,
Ken Curtis,Curtis,Ken,M,character,1945,1976,1916,,USA,,,,,,
Tony Curtis,Schwarz,Bernard,M,bouncy, lead,1949,,1925,,USA,,,,,
George Curzon,Curzon,George,M,aristocratic, sinister roles,1932,,1896,1976,Great Britain,,,,,
Cyril Cusack,Cusack,Cyril,M,dimimutive,1947,1981,1910,,Ireland,,,,,,
Peter Cushing,Cushing,Peter,M,monster roles,1939,1983,1913,1994,Great Britain,,,,,,
Allan Cuthbertson,Cuthbertson,Allan,M,supercilious roles,1955,1983,1920,1988,Australia,,,,,,
Zbigniew Cybulski,Cybulski,Zbigniew,M,lead,1954,1965,1927,1967,Poland,,,,,,
Maryam DAbo,D'Abo,Maryam,F,,1982,1987,,,,,,,,,
Olivia DAbo,D'Abo,Olivia,F,,1984,1994,1970,,Si(Si(Maryam dAbo)),,,,,,
Willem Dafoe,Dafoe,Willem,M,,1985,1990,,,,,,,,,
Lil Dagover,Dagover,,F,silent,1919,,,1980,,,,,,,
Arlene Dahl,Dahl,Arlene,F,lead,1947,1969,1924,,Germany,,,,,,
Eva Dahlbeck,Dahlbeck,Eva,F,,1952,1969,1920,,Sweden,,,,,,
Dan Daily,Daily,Dan,M,lanky,1940,1973,1914,1978,USA,,,,,,
Elizabeth Daily,,,F,,,,,,,,,,,,
Irene Daily,,,F,,,,,,,,,,,,
Amy Dalby,Dalby,Amy,F,character,1945,1967,1888,1969,Great Britain,,,,,,
Charles Dale,Marks,Charles,M,vaudevillain,1931,1951,1881,,USA,,,,,,
Jennifer Dale,,,F,,,,,,,,,,,,
Jim Dale,Smith,James,M,singer, comic,1962,,1935,1985,Great Britain,,,,,
Marcel Dalio,Bleuschild,Marcel Benoit,M,comedy,1937,1965,1900,1983,France,,,,,,
John Dall,Dall,John,M,lead,1945,1961,1918,1971,USA,,,,,,
Beatrice Dalle,Dalle,Beatrice,,steamy,1988,,,,France,,,,,,
Timothy Dalton,Dalton,Timothy,M,saturnine,1968,1981,1944,,Great Britain,,,,,,
Roger Daltrey,Daltrey,Roger,M,dramatic,1974,1980,1944,,Great Britain,,,,,,
James Daly,Daly,James,M,,1955,1975,1918,1978,USA,,,,,,
Tyne Daly,Daly,Tyne,F,lead,1969,1982,1947,,USA,,,,,,
Mark Damon,Doman,Mark,M,vengeful lead,1956,,,,USA,,,,,,
Vic Damone,Farinola,Vito,M,light lead,1951,1960,1929,,USA,,,,,,
Claude Dampier,Cowan,Claude,M,nasal drawl, country yokel,1935,,1879,1955,Great Britain,,,,,
Bill Dana,Dana,Bill,M,comedian,1977,1981,,,USA,,,,,,
Leona Dana,,,F,,,,,,,,,,,,
Leora Dana,Dana,Leora,F,general purpose,1957,1982,1923,1983,USA,,,,,,
Mara Danaud,,,F,,,,,,,,,,,,
Charles Dance,,,M,,,,,,,,,,,,
Tom dAndrea,d'Andrea,Tom,M,cabbie,1947,,,,,,,,,,
Dorothy Dandridge,Dandridge,Dorothy,F,lead,1937,1960,1923,1965,USA,,,,,,
Karl Dane,Daen,Karl,M,lanky, character,1925,,1886,1934,Denmark,,,,,
Beverly D'Angelo,D'Angelo,Beverly,F,lead,1978,1981,1854,,USA,,,,,,
Mirella D'Angelo,,,F,,,,,,,,,,,,
Rodney Dangerfield,,,M,,,,,,,,,,,,
Henry Daniell,Daniell,Henry,M,incisive, cold-eyed,1929,[4.423],1894,1963,Great Britain,,,,,
Suzanne Danielle,,,F,,,,,,,,,,,,
Anthony Daniels,,,M,,,,,,,,,,,,
Bebe Daniels,Daniels,Virginia,F,silent, lead,1919,,1901,1971,USA,,,,,
Jeff Daniels,,,M,,,,,,,,,,,,
William Daniels,Daniels,William,M,dapper,1949,1982,1927,,USA,,,,,,
Blythe Danner,Danner,Blythe,F,young,1970,1983,1945,,USA,,,,,,
Sybil Danning,,,F,,,,,,,,,,,,
Royal Dano,Dano,Royal,M,lanky cowboys, villains,1949,,1922,1944,USA,,,,,
Ted Danson,Danson,Ted,M,tall, craggy,1979,,1952,,USA,,,,,
Michael Dante,Vitti,Ralph,M,villain,1958,1977,1931,,USA,,,,,,
Helmut Dantine,Dantine,Helmut,M,lean,1941,1974,1917,1982,Austria,,,,,,
Ray Danton,Danton,Ray,M,lead,1952,1974,1931,,USA,,,,,,
Tony Danza,,,,,,,,,,,,,,,
Patti D'Arbanville,,,F,,,,,,,,,,,,
Kim Darby,Zenby,Deborah,F,lead,1965,1979,1947,,USA,,,,,,
Denise Darcel,Billecard,Denise,F,lead,1948,1962,1925,,USA,,,,,,
Alex D'Arcy,Sarruf,Alexander,M,light international,1928,1971,1908,,Egypt,,,,,,
Ruth Dardick,,,F,,,,,,,,,,,,
Frank Darien,,,M,,,,,,,,,,,,
Bobby Darin,Cassotto,Walden Robert,M,pop singer,1960,1969,1936,1973,USA,,,,,,
Linda Darnell,Darnell,Monetta Eloisa,F,beauty,1939,1965,1921,1965,USA,,,,,,
James Darren,Ercolani,James,M,lead,1956,1964,1936,,USA,,,,,,
Danielle Darrieux,Darrieux,Danielle,F,vivacious,1931,1979,1917,,France,,,,,,
Jane Darwell,Woodward,Patti,F,strong and warm mother,1914,1964,1880,1967,USA,,,,,,
Howard daSilva,Siverblatt,Harold,M,tough, suspicious-looking,1939,,1909,1986,USA,,,,,
Jules Dassin,Dassin,Jules,M,,1954,1960,1911,,USA,,,,,,
Jean Daste,,,,,,,,,,,,,,,
Claude Dauphin,Dauphin,Claude,M,dapper,1938,1976,1903,1978,France,,,,,,
Elyssa Davalos,,,F,,,,,,,,,,,,
Doris Davenport,,,F,,,,,,,,,,,,
Harry Davenport,Davenport,Harry,M,chuclesome, benevolent old man,1930,,1866,1949,USA,,,,,
Nigel Davenport,Davenport,Nigel,M,breezy, virile,1959,,1928,,Great Britain,,,,,
Thayer David,David,Thayer,M,character,1958,1978,1926,1978,USA,,,,,,
Eileen Davidson,,,F,,,,,,,,,,,,
John Davidson,Davidson,John,M,piercing-eyed, white-haired villain,1915,,1886,1969,,,,,,
William B. Davidson,Davidson,William B.,M,character,1917,1947,1888,1947,USA,,,,,,
John Howard Davies,Davies,John Howard,M,child,1948,1951,1939,,USA,,,,,,
Lolita Davidovitch,Davidovich,Lolita,F,juicy,1989,,,,Canada,,,,,,
Marion Davies,Douras,Marion,F,lead,1917,1937,1897,1961,USA,,,,,,
Rupert Davies,Davies,Rupert,M,character,1958,1971,1916,1976,Great Britain,,,,,,
Bette Davis,Davis,Ruth Elizabeth,F,inimitably intense,1931,1983,137],1908,1989,USA,,,,,
Brad Davis,Davis,Brad,M,lead,1977,1981,1950,1991,USA,,,,,,
Clifton Davis,,,M,,,,,,,,,,,,
Geena Davis,,,F,smart,1993,,,,USA,,,,,,
Gene Davis,,,M,,,,,,,,,,,,
Jim Davis,Davis,Jim,M,burly,1942,1980,1915,1981,USA,,,,,,
Joan Davis,Davis,Joan,F,rubber-faced,1935,1956,1907,1961,USA,,,,,,
Judy Davis,Davis,Judy,F,round-faced,1979,1984,1956,,Australia,,,,,,
Larry Davis,,,M,,,,,,,,,,,,
Lyndon Davis,,,M,,,,,,,,,,,,
Mac Davis,,,M,,,,,,,,,,,,
Miles Davis,,,M,,,,,,,,,,,,
Nancy Davis,Robbins,Anne Frances,F,lead,1950,1959,1956,,USA,,,,,,
Ossie Davis,Davis,Ossie,M,massive presence,1950,1979,1917,,USA,,,,,,
Phyllis Davis,,,F,,,,,,,,,,,,
Roger Davis,,,M,,,,,,,,,,,,
Sammy Davis~jr.,Davis,Samuel,M,energetic, `one-eyed Jewish Negro',1958,,1925,1990,USA,,,,,
Sonny Carl Davis,,,M,,,,,,,,,,,,
Bruce Davison,Davison,Bruce,M,slightly-built,1969,1981,1948,,USA,,,,,,
Marjorie Daw,,,M,,,,,,,,,,,,
Marpessa Dawn,,,F,,,,,,,,,,,,
Anthony Dawson,Dawson,Anthony,M,lean-faced,1945,1963,1916,,Great Britain,,,,,,
Clayton Day,,,M,,,,,,,,,,,,
Dennis Day,Day,Dennis,M,sr,1951,1959,,1988,,,,,,,
Doris Day,Kappelhoff,Doris,F,wholesome,1948,1968,1924,,USA,,,,,,
Frances Day,Day,Frances,F,revue star,1927,1957,1908,,USA,,,,,,
Josette Day,Day,Josette,F,lead,1932,1950,1914,1978,France,,,,,,
Laraine Day,Johnson,Laraine,F,lead,1937,1978,1917,,USA,,,,,,
Lawrence Day,,,M,,,,,,,,,,,,
Marceline Day,,,F,,,,,,,,,,,,
Daniel DayLewis,Day-Lewis,Daniel,M,intense,1986,1989,1957,,Ireland,,,,,,
Brian Deacon,,,M,,,,,,,,,,,,
Richard Deacon,Deacon,Richard,M,bald, bespectacled, comic snoops,1978,,1923,,USA,,,,
Isabel Dean,Hodgkinson,Isabel,F,upper-class roles,1947,1982,1918,,Great Britain,,,,,,
Jimmy Dean,Dean,James,M,moody,1951,1956,1931,1955,USA,,,,,,
Laura Dean,,,F,,,,,,,,,,,,
Darcia Deane,,,F,,,,,,,,,,,,
Maria DeAragon,,,F,,,,,,,,,,,,
Brenda deBanzie,deBanzie,Brenda,F,lead,1942,1967,1915,1981,Great Britain,,,,,,
Kristine DeBell,,,F,,,,,,,,,,,,
John DeBello,,,M,,,,,,,,,,,,
Yvonne deBray,DeBray,Yvonne,F,character,1943,1952,1889,1954,USA,,,,,,
Nigel deBrulier,deBrulier,Nigel,M,silent star,1916,1948,1878,1948,Great Britain,,,,,,
Rosemary de Camp,Camp,Rosemary,F,active motherly types,1941,1981,1913,,USA,,,,,,
Yvonne deCarlo,Middleton,Peggy,F,outrageous,1945,1982,1922,,Canada,,,,,,
Jeanne DeCasalis,Casalis,Jeanne,F,character,1941,1948,1896,1966,Great Britain,,,,,,
Pedro DeCordoba,DeCordoba,Pedro,M,lean, sinister,1915,,1881,1950,USA,,,,,
Arturo deCordova,Garcia,Arturo,M,flashing impudent,1943,1953,1908,1973,Mexico,,,,,,
Ted DeCorsia,DeCorsia,Ted,M,surly villain,1947,1968,1904,1973,USA,,,,,,
Frances Dee,Dee,Jean,F,lead,1931,1954,1908,,USA,,,,,,
Ruby Dee,Dee,Ruby,F,black character,1950,1982,1923,,USA,,,,,,
Sandra Dee,Zuck,Alexandra,F,petite,1957,1977,1942,,USA,,,,,,
Ermelinda deFelice,,,F,,,,,,,,,,,,
Eduardo DeFilippo,Passarelli,Eduardo,M,,1932,1966,1900,1984,Italy,,,,,,
Luca DeFilippo,Passarelli,Luca,M,,1990,,,,Italy,,,,,,
Peppino DeFillippo,Passarelli,Peppino,M,comic,1950,,,,Italy,,,,,,
Willem Defoe,,,M,,,,,,,,,,,,
Don Defore,Defore,Don,M,hearty westerner,1942,1961,1917,,USA,,,,,,
Louis deFunes,de Funes,Louis,M,choleric comedian,1956,1980,1908,1983,France,,,,,,
Pia Degermark,Degermark,Pia,F,lead,1967,1971,1949,,Sweden,,,,,,
Nicholas DeGunzberg,West,Julian,M,sr,1932,,,,Denmark,,,,,,
Gloria deHaven,de Haven,Gloria,F,sweet,1936,1979,1924,,USA,,,,,,
Olivia deHavilland,de Havilland,Olivia,F,romantic,1935,1982,424,1059],1916,,Great Britain,,,,
John Dehner,Forkum,John,M,sympathetic smart alec, dastardly villain,1945,,1915,,,,,,,
Albert Dekker,Dekker,Albert,M,,1937,1969,1905,1968,USA-Holland,,,,,,
Frank deKova,,,M,,,,,,,,,,,,
Marguerite DeLaMotte,De La Motte,Marguerite,F,lead,1920,1942,1903,1950,USA,,,,,,
Suzy Delair,Delair,Suzy,F,voluptuous, vivacious,1947,,1916,,France,,,,,
Cyril Delevanti,Delevanti,Cyril,M,aged gentlemen,1964,1973,1887,1975,Great Britain,,,,,,
Alain Delon,Delon,Alain,M,romantic,1959,1980,1935,,France,,,,,,
Daniele Delorme,Girard,Gabrielle,F,lead,1948,1977,1926,,France,,,,,,
Carla DelPoggio,DelPoggio,Carla,F,,1950,,,,Italy,,,,,,
Julie Delpy,Delpy,Julie,F,,1988,1989,1969,,France,,,,,,
Dolores delRio,Asunsolo,Dolores,F,aristocratic,1925,1967,1905,1983,Mexico,,,,,,
Dom DeLuise,De Luise,Dom,M,rotund,1965,1983,1933,,USA,,,,,,
Robert Deman,,,M,,,,,,,,,,,,
William Demarest,Demarest,William,M,character,1927,1968,1892,1983,USA,,,,,,
Derrick deMarney,de Marney,Derrick,M,good-looking,1935,1966,1906,1978,Great Britain,,,,,,
Terrence deMarney,de Marney,Terrence,M,,1936,1969,1909,1971,Great Britain,,,,,,
Maria deMadeiros,deMadeiros,Maria,F,gentle,1990,,,,Portugal,,,,,,
Cecil B. DeMille,De Mille,Cecil,M,,,,1881,1959,USA,,,,,,
Katherine DeMille,Lester,Katherine,F,lead,1934,1950,1911,,USA,,,,,,
Mylene Demongeot,Demongeot,Mylene,F,sex symbol, blonde,1954,,1936,,France,,,,,
Rebecca deMorney,,,F,,,,,,,,,,,,
Carol Dempster,Dempster,Carol,F,lead,1919,1926,1901,,USA,,,,,,
Judi Dench,Dench,Judi,F,,1964,1983,1934,,Great Britain,,,,,,
Catherine Deneuve,Dorleac,Catherine,F,cool, dangerous beauty,1957,,1943,,France,,,,,
Maurice Denham,Denham,Maurice,M,character,1948,1977,1909,,Great Britain,,,,,,
Robert deNiro,de Niro,Robert,M,lead,1968,1983,165],1943,,USA,,,,,
Michael Denison,Denison,Michael,M,firm gentle mannered,1940,1961,1915,,Great Britain,,,,,,
Brian Dennehy,Dennehy,Brian,M,heavily built,1977,1979,1940,,USA,,,,,,
Charles Denner,Denner,Charles,M,lead,1962,1980,1926,,France,,,,,,
Richard Denning,Denninger,Louis A.,M,manly romantic,1937,1979,1914,,USA,,,,,,
Sandy Dennis,Dennis,Sandra Dale,F,uncoordinated, blowsy ingenue,1961,,1937,1992,,,,,,
Raymond Denny,,,M,,,,,,,,,,,,
Reginald Denny,Daymore,Reginald Leigh,M,amiable stiff-upper-lip Britisher,1920,1966,1891,1967,Great Britain,,,,,,
Bob Denver,Denver,Bob,M,comedian,1963,1973,1935,,USA,,,,,,
Rossy dePalma,,,,,,,,,,,,,,,
Elisabeth Depardieu,,,F,,,,,,,,,,,,
Gerard Depardieu,Depardieu,Gerard,M,bearish peasant,1971,1989,1948,,France,,,,,,
Frederic dePasquale,,,M,,,,,,,,,,,,
Jonny Depp,Depp,Johnny,M,charming juvenile delinquent,1986,1990,1963,,USA,,,,,,
Lya dePutti,de Putti,Lya,F,lead,1925,1929,1901,1932,Hungary,,,,,,
Emilie Dequenne,Dequenne,Emilie,F,stolid,1999,,1971,,Belgium,,,,,,
Bo Derek,Collins,Mary Cathleen,F,pin-up,1977,1981,1957,,USA,,,,,,
John Derek,Harris,Derek,M,light lead,1945,1981,1926,,USA,,,,,,
Bruce Dern,Dern,Bruce,M,tough guy or psychotic,1960,1982,1936,,USA,,,,,,
Laura Dern,Dern,Laura,F,,1986,1993,1967,,,,,,,,
Richard Derr,Derr,Richard,M,lead,1942,1975,1917,,USA,,,,,,
Cleavant Derricks,,,,,,,,,,,,,,,
Jean Desailly,Desailly,Jean,M,lead,1942,1980,1920,,France,,,,,,
Anne DeSalvo,,,F,,,,,,,,,,,,
Joe DeSantis,,,M,,,,,,,,,,,,
Vittorio DeSica,DeSica,Vittorio,M,skillful realist,1941,1973,1901,1974,USA,,,,,,
Ivan Desny,Desny,Ivan,M,lead,1950,1980,1922,,,,,,,,
Edward DeSouza,DeSouza,Edward,M,lead,1961,1963,1933,,Great Britain,,,,,,
Ed DeStefane,,,M,,,,,,,,,,,,
Maruschka Detmers,,,F,haunting,1992,,,,Holland,,,,,,
Ernst Deutsch,Deutsch,Ernst,M,character,1916,1983,1890,1969,Germany,,,,,,
William Devane,,,M,,1976,,,,,,,,,,
Andy Devine,Devine,Andy,M,character comedian,1928,1977,1905,1977,USA,,,,,,
Danny deVito,,,M,slob,1985,,,,,,,,,,
Joe Devlin,Devlin,J.G.,M,sr,1954,,,1991,,,,,,,
William Devlin,Devlin,William,M,sr,1939,,,1987,,,,,,,
Patrick Dewaere,Dewaere,Patrick,M,sr,1974,,,1982,,,,,,,
Brandon deWilde,deWilde,Brandon,M,child, juvenile lead,1952,,1942,1972,USA,,,,,
Colleen Dewhurst,Dewhurst,Colleen,F,general purpose,1959,1980,1926,1991,USA,,,,,,
William Dewhurst,,,M,,1936,,,,,,,,,,
Billy DeWolf,,,,,,,,,,,,,,,
Francis DeWolff,DeWolff,Francis,M,bearded, burly,1948,,1913,,Great Britain,,,,,
Elliot Dexter,,,M,lead,1918,,,,USA,,,,,,
Susan Dey,Dey,Susan,F,juvenile,1972,1977,,,USA,,,,,,
Cliff DeYoung,DeYoung,Cliff,M,general purpose,1973,1978,1945,,USA,,,,,,
Khigh Dheigh,Dheigh,Khigh,M,evil villain,1962,1977,1910,,USA(Oriental),,,,,,
Selma Diamond,Diamond,Selma,F,,1983,,,1985,,,,,,,
Cameron Diaz,Diaz,Cameron,G,sexy,1994,1997,1970,,,,,,,,
Bobby DiCicco,,,,,,,,,,,,,,,
Lucinda Dickey,,,F,,,,,,,,,,,,
Angie Dickinson,Brown,Angeline,F,capable beauty,1954,1981,1931,,USA,,,,,,
John Dierkes,Dierkes,John,M,gaunt,1948,1963,1905,1975,USA,,,,,,
William Dieterle,Dieterle,Wilhelm,M,lead,1924,,1893,1972,Germany,,,,,,
Marlene Dietrich,von Losch,Maria M.,F,vamp,1934,,1901,1992,Germany,,,,,,
Anton Diffring,Diffring,Anton,M,villainous Nazi,1950,1977,1918,,Germany,,,,,,
Arthur Dignam,Dignam,Arhur,M,,1982,,,,Australia,,,,,,
Basil Dignam,Dignam,Basil,M,barrister,1953,1962,1905,1979,Great Britain,,,,,,
Mark Dignam,Dignam,Mark,M,professionals,1952,1969,1909,1989,Great Britain,,,,,,
Phyllis Diller,Diller,Phyllis,F,zany, grotesque,1960,,1917,,USA,,,,,
Bradford Dillman,Dillman,Bradford,M,lean,1958,1983,1930,,USA,,,,,,
Matt Dillon,Dillon,Matt,M,teenager,1982,1982,1964,,,,,,,,
Melinda Dillon,Dillon,Melinda,F,big-breasted lead,1977,1981,1939,,USA,,,,,,
Richard Dimbleby,,,M,,,,,,,,,,,,
Charles Dingle,Dingle,Charles,M,cheerfully wicked,1933,1955,1887,1956,USA,,,,,,
Celine Dion,Celine,Dion,F,pop singer,1992,,1969,,Canada,,,,,,
Piero DiOrio,,,M,,,,,,,,,,,,
Dante DiPaolo,DiPaolo,Dante,,spaghetti cowboy,,,,,Italy,,,,,,
Bob Dishy,Dishy,Bob,M,character,1967,1982,,,USA,,,,,,
Divine,,,M,massive transvestite,1969,1988,,1988,USA,,,,,,
Loretta Divine,,,F,,,,,,,,,,,,
Richard Dix,Dix,Richard,M,stalwart,1921,1944,1894,1949,USA,,,,,,
Donna Dixon,,,F,,,,,,,,,,,,
Ivan Dixon,,,M,,,,,,,,,,,,
Jean Dixon,Dixon,Jean,F,,1929,1938,1896,1981,USA,,,,,,
Gitty Djamal,,,F,,,,,,,,,,,,
Joe Dobisch,,,M,,,,,,,,,,,,
Tamara Dobson,Dobson,Tamara,F,lead,1973,1977,1947,,USA,,,,,,
Claire Dodd,Dodd,Claire,F,pert supporting,1930,1942,1908,1973,USA,,,,,,
John Doe,,,M,,,,1953,,USA,,,,,,
Shannon Doherty,,,F,brat, femme fatale,1991,,1971,,,,,,,
William Doherty,,,M,,,,,,,,,,,,
Faith Domergue,Domergue,Faith,F,lead,1950,1973,1925,,USA,,,,,,
Placido Domingo,Domingo,Placido,M,tenor,1982,1982,1940,,Italy,,,,,,
Arturo Dominici,,,M,,,,,,,,,,,,
Troy Donahue,Johnson,Merle,M,beefcake hero,1957,1983,1936,,USA,,,,,,
James Donald,Donald,James,M,man of conscience,1941,1978,1917,,Great Britain,,,,,,
Peter Donat,Donat,Peter,M,character,1971,1979,,,Canada,,,,,,
Robert Donat,Donat,Robert,M,melodious voice,1932,1958,1905,1958,Great Britain,,,,,,
Ludwig Donath,Donath,Ludwig,M,character,1943,1966,1900,1967,Austria,,,,,,
Ruth Donelly,,,F,,,,,,,,,,,,
Yolande Donlan,Donlan,Yolande,F,lead, dumb blonde,1941,,1920,,USA,,,,,
Brian Donlevy,Donlevy,Brian,M,fast talking tough roles,1928,1967,1899,1972,USA,,,,,,
Jeff Donnell,Donnell,Jeff,M,heroine's friend,1943,1977,1921,,USA,,,,,,
Donal Donnelly,Donelly,Donal,M,,1987,1990,,,Ireland,,,,,,
Patrice Donnelly,,,,,,,,,,,,,,,
Ruth Donnelly,Donnelly,Ruth,F,wisecracking girlfriend,1927,1957,1896,1982,USA,,,,,,
Amanda Donohue,Donohue,Amanda,F,lively,1986,1991,1962,,Great Britain,,,,,,
Donovan,Donovan,King,M,general purpose,1950,1966,1919,,USA,,,,,,
King Donovan,,,M,Pop singer,1972,,,,Great Britain,,,,,,
James Doohan,,,M,,,,,,,,,,,,
Paul Dooley,Dooley,Paul,M,character,1977,1982,1928,,USA,,,,,,
Robert Doqui,,,M,,,,,,,,,,,,
