"movie_id",,"stage_name","role_type","role_description","role_name"
"FLd20","The Happiest Day of Your Life","Alastair Sim",,,
"FLd20","The Happiest Day of Your Life","Mrgaret Rutherford",,,
"FLd20","The Happiest Day of Your Life","Joyce Grenfell",,,
"FLd20","The Happiest Day of Your Life","Ricard Wattis",,,
"FLd20","The Happiest Day of Your Life","Edward Rigby",,,
"FLd20","The Happiest Day of Your Life","Guy Middleton",,,
"FLd20","The Happiest Day of Your Life","Muriel Aked",,,
"FLd20","The Happiest Day of Your Life","John Bentley",,,
"FLd20","The Happiest Day of Your Life","Bernadette OFarrell",,,
"FLe10","Mail","Richard B. Shull",,,
"FLe10","Mail","Dick ONeill",,,
"FLe10","Mail","Dan Resin",,,
"FLe10","Mail","Joseph Sirola",,,
"FLg10","Fear No Evil",,,"priest, confined to mental hospital, Archangel","Raphael"
"FLg10","Fear No Evil","Stefan Arngrim",,"nerd student","Andrew, Lucifer"
"FLg10","Fear No Evil",,,"old angel",
"FLg10","Fear No Evil",,,"young angel",
"FLg10","Fear No Evil",,,"tormenting student, gets instant breasts",
"FLl4","The Only Way","William Farnum",,,
"FLl4","The Only Way","Loretta Young","bit, role","weeping child in hospital",
"FLl7","Les Mis\'erables","William Farnum",,"outlaw","Jean Valjean"
"FLl10","Madame X","Pauline Frederick",,"wealthy woman, sinks low",
"FLl30","The Divine Lady","Corinne Griffith",,"lady","Emma Hamilton"
"FLl30","The Divine Lady","Victor Varconi",,"admiral","Horatio Nelson"
"FLl30","The Divine Lady","H.B. Warner",,,
"FLl30","The Divine Lady","Montagu Love",,,
"FLl30","The Divine Lady","Marie Dressler",,,
"FLl40","East Lynne","Ann Harding",,"unjustly accused wife, thrown out",
"FLl40","East Lynne","Clive Brook",,"husband","errorR(An)/error"
"FLl40","East Lynne","O.P. Heggie",,"suspected lover","errorR(An)/error"
"FLl40","East Lynne","Conrad Nagel",,,
"FLl40","East Lynne","Cecilia Loftus",,,
"FLl40","East Lynne","Beryl Mercer",,,
"FLl40","East Lynne","Flora Sheffield",,,
"FLl59","Cavalcade","Clive Brook",,,
"FLl59","Cavalcade","Diana Wynyard",,"wife",
"FLl59","Cavalcade","Frank Lawton",,"son",
"FLl59","Cavalcade","Herbert Mundin",,"butler",
"FLl59","Cavalcade","Una OConnor",,"servant",
"FLl59","Cavalcade","Ursula Jeans",,,
"FLl59","Cavalcade","Billy Bevan",,,
"FLl59","Cavalcade","Beryl Mercer",,,
"FLl59","Cavalcade","John Warburton",,"honeymooner",
"FLl59","Cavalcade","Margeret Lindsay",,"honeymooner",
"FLl62","Berkeley Square","Leslie Howard",,"house oener, switches periods","AAN"
"FLl62","Berkeley Square","Heather Angel",,,
"FLl62","Berkeley Square","Valerie Taylor",,,
"FLl62","Berkeley Square","Irene Brown",,,
"FLl62","Berkeley Square","Beryl Mercer",,,
"FLl62","Berkeley Square","Colin KeithJohnson",,,
"FLl62","Berkeley Square","Alan Mowbray",,,
"FLl70","Mutiny on the Bounty","Charles Laughton",,"nasty captain","AAN"
"FLl70","Mutiny on the Bounty","Clark Gable",,"mutinous leader","AAN"
"FLl70","Mutiny on the Bounty","Franchot Tone",,"true midshipman, accused, reprieved","AAN"
"FLl70","Mutiny on the Bounty","Movita Castenada",,"mutineer's Tahitean lover",
"FLl70","Mutiny on the Bounty","Dudley Digges",,"sentimental sailor",
"FLl70","Mutiny on the Bounty","Henry Stephenson",,,
"FLl70","Mutiny on the Bounty","Donald Crisp",,,
"FLl70","Mutiny on the Bounty","Eddie Quillan",,,
"FLl70","Mutiny on the Bounty","Francis Lister",,,
"FLl70","Mutiny on the Bounty","Spring Byington",,,
"FLl70","Mutiny on the Bounty","Ian Wolfe",,,
"FLl75","Under Two Flags","Ronald Coleman",,"legionaire",
"FLl75","Under Two Flags","Claudette Colbert","saviore","cafe girl","Cigarette"
"FLl75","Under Two Flags","Rosalind Russell",,,
"FLl75","Under Two Flags","Nigel Bruce",,,
"FLl80","Wells Fargo","Joel McCrae",,,
"FLl80","Wells Fargo","Bob Burns",,,
"FLl80","Wells Fargo","Frances Dee",,,
"FLl80","Wells Fargo","Lloyd Nolan",,,
"FLl80","Wells Fargo","Henry ONeil",,,
"FLl80","Wells Fargo","Mary Nash",,,
"FLl80","Wells Fargo","Ralph Morgan",,,
"FLl80","Wells Fargo","John Mack Brown",,,
"FLl80","Wells Fargo","Porter Hall",,,
"FLl80","Wells Fargo","Clarence Kolb",,,
"FLl80","Wells Fargo","Rebecca Wassem",,"dancer","Lola Montes"
"FLl80","Wells Fargo","Frank McGlynn",,"president","Lincoln"
"FLl85","Maid of Salem","Claudette Colbert","victim","accused of witchcraft, to be hanged",
"FLl85","Maid of Salem","Fred McMurray",,"Virginian, disappears",
"FLl85","Maid of Salem","Harvey Stephens",,"doctor",
"FLl85","Maid of Salem","Gale Sondergard",,"doctor's wife",
"FLl85","Maid of Salem","Louise Dresser",,"witch's aunt",
"FLl85","Maid of Salem","Bennie Bartlett",,"witch's son",
"FLl85","Maid of Salem","Edward Ellis",,"elder",
"FLl85","Maid of Salem","Beulah Bondi",,"elder's wife",
"FLl85","Maid of Salem","Bonita Granville",,"elder's daughter, makes false accusation",
"FLl85","Maid of Salem","Virginia Weidler",,"elder's daughter",
"FLl85","Maid of Salem","Donald meek",,"local","Ezra"
"FLl85","Maid of Salem","E.E. Clive",,"local","Bilge"
"FLl85","Maid of Salem","Halliwell Hobbes",,"local","Jerome"
"FLl85","Maid of Salem","Pedro deCordoba",,,"Mr.~Morse"
"FLl85","Maid of Salem","Madame SulTeWan",,"slave",
"FLl85","Maid of Salem","Lucy Beaumont",,,"Rebecca Nurse"
"FLl85","Maid of Salem","Henry Kolker",,"chief justice",
"FLl85","Maid of Salem","William Farnum","savior","crown justice",
"FLl85","Maid of Salem","Ira Singman",,"reverend",
"FLl85","Maid of Salem","Sterling Holloway",,"drunk cow herder",
"FLl85","Maid of Salem","J.Farrell MacDonald",,"sea captain",
"FLl85","Maid of Salem","Lionel Belmore",,"tavern keeper",
"FLl85","Maid of Salem","Agneyres","bit, role","local",
"FLl89","If I were King","Ronald Colman","crook","rebel, poet, vagabond king",
"FLl89","If I were King","Basil Rathbone","ruler","sly king","Louis XI"
"FLl89","If I were King","Frances Dee",,"frosty great lady, loved",
"FLl89","If I were King","Ellen Drew",,"warm unkempt wench",
"FLl89","If I were King","C.V. France",,,
"FLl89","If I were King","Heather Thatcher",,,
"FLl89","If I were King","Henry Wilcoxon",,,
"FLl89","If I were King","Sidney Toler",,,
"FLl89","If I were King","Bruce Lester",,,
"FLl89","If I were King","Alma Lloyd",,,
"FLl89","If I were King","Ralph Forbes",,,
"FLl89","If I were King","Montagu Love",,,
"FLl89","If I were King","William Farnum",,,
"FLl99","Blood on the Sun","Jimmy Cagney",,"editor","Condor"
"FLl99","Blood on the Sun","Sylvia Sidney",,"Chinese double spy","Iris Hilger"
"FLl99","Blood on the Sun","Wallace Ford",,"newspaper owner",
"FLl99","Blood on the Sun","Rosemary deCamp",,,
"FLl99","Blood on the Sun","Robert Armstrong",,"embassy official","errorR(An)/error"
"FLl99","Blood on the Sun","John Emery",,"Japanese prime minister, commits hara-kiri","Baron Tanaka"
"FLl99","Blood on the Sun","Leonard Strong",,"Japanese ex-minister","Tojo"
"FLl99","Blood on the Sun","Frank Puglia",,"Japanese heavy Colonel","Col.Tojo"
"FLl99","Blood on the Sun","Rhys Williams",,,
"FLl99","Blood on the Sun","Charles Ruggles",,,
"FLl99","Blood on the Sun","Frank Puglia",,"Japanese heavy","Ozama"
"FLl99","Blood on the Sun",,,"secret service officer","Col.Tojo"
"FLl99","Blood on the Sun",,,"niece of foreign minister",
"FLl99","Blood on the Sun",,,"killed","Arnie Oliver"
"FLl99","Blood on the Sun",,,"Arnie's wfe, killed","Kathy"
"FLl99","Blood on the Sun",,,,"Higati"
"FLl99","Blood on the Sun",,,"new editor","Sprague"
"FLl99","Blood on the Sun",,,"murderous policeman","Oshman Irv"
"FLl99","Blood on the Sun",,,"candidate","Charlie"
"FLl99","Blood on the Sun",,,"Chinese refugee",
"FLl99","Blood on the Sun",,,"Collaborator, cleared","Bickford"
"FLl99","Blood on the Sun",,,"shadow follower","Katio"
"FLl99","Blood on the Sun",,,"former highnesssr",
"FlM1","Jigsaw","Franchot Tone",,"district attorney",
"FlM1","Jigsaw","Jean Wallace",,,
"FlM1","Jigsaw","Myron McCormick",,,
"FlM1","Jigsaw","Mark Lawrence",,,
"FlM1","Jigsaw","Marlene Dietrich","cameo, role",,
"FlM1","Jigsaw","Henry Fonda","cameo, role",,
"FlM1","Jigsaw","John Garfield","cameo, role",,
"FlM1","Jigsaw","Marsha Hunt","cameo, role",,
"FlM1","Jigsaw","Leonard Lyons","cameo, role",,
"FlM1","Jigsaw","Burgess Meredith","cameo, role",,
"FlM3","The Man Without a Cloak","Joseph Cotten",,"mysterious stranger","Edgar Allan Poe"
"FlM3","The Man Without a Cloak","Barbara Stanwyk",,,
"FlM3","The Man Without a Cloak","Leslie Caron",,"threatened girl",
"FlM3","The Man Without a Cloak","Louis Calhern",,,
"FlM3","The Man Without a Cloak","Joe deSantis",,,
"FlM3","The Man Without a Cloak","Jim Backus",,,
"FlM3","The Man Without a Cloak","Margaret Wycherly",,,
"FLr10","Emmanuelle 7","Sylvia Kristel",,"runs virtual reality sex systems",
"FLr10","Emmanuelle 7","Ann Belek",,"old friend, introduced to virtual reality","Sophie"
"FLr10","Emmanuelle 7","Cynthia vanDamme",,,
"FLr10","Emmanuelle 7","Julie Jalaber",,,
"FLr10","Emmanuelle 7","Roland Waden",,"young boy, seduced in past","Frank"
"FLr10","Emmanuelle 7",,,"old rapist, revenged","Carlos"
"FLr10","Emmanuelle 7","Robert Malone",,"computer scientist",
"FM3","Nosferatu","Max Schreck","villain","rodent-faced count","Dracula"
"FM3","Nosferatu","Gustav vonWangenheim","agent","agent, hero","Renfield"
"FM3","Nosferatu","Greta Schroeder","savior","faithful wife, savior","Nina"
"FM3","Nosferatu","Alexander Granach","sidekick","real estate broker, follower",
"FM3","Nosferatu",,"scientist","professor",
"FM3","Nosferatu",,,"friend",
"FM3","Nosferatu",,,"inn keeper, scared",
"FM3","Nosferatu",,"victim","captain, killed",
"FM3","Nosferatu",,"victim","first mate, killed",
"FM4","Der Letzte Mann","Emil Jannings","victim","Vil","doorman, demoted, becomes rich, revengeful"
"FM4","Der Letzte Mann","Max Hiller",,,
"FM4","Der Letzte Mann","Maly Delschaft",,,
"FM4","Der Letzte Mann","Hans Unterkirchen",,,
"FM6","Faust","Emil Jannings",,"devil","Mephisto"
"FM6","Faust","Gosta Eckman",,"doctor","Faustus"
"FM6","Faust","Camilla Horn","savior","true love","Marguerite"
"FM6","Faust","Yvette Guilbert",,"Marguerite's aunt","errorR(An)/error"
"FM6","Faust","William Dieterle",,,
"FM6","Faust","Gunther Fuetter",,"Marguerite's brother","errorSp(An)/error"
"FM6","Faust","Frida Richard",,"Marguerite's mother","errorR(An)/error"
"FM7","Sunrise","Janet Gaynor","innocent, crook","young true farmer's wife, threatened","AA,""lifelifenotefirst award/lifenote/life"
"FM7",,"George OBrien","villain","unbalanced farmer, seduced, regrets",
"FM7","Sunrise","Margaret Livingston","vamp","seductive city girl",
"FM9","City Girl","Charles Farrell",,,
"FM9","City Girl","Mary Duncan",,"vamp",
"FM9","City Girl","David Torrence",,,
"FM10","Tabu","Anne Chevalier",,"virgin, resists adulation, lover","Reri"
"FM10","Tabu","Matahi",,"relative, lover",
"FMD3","Isle of Fury","Humphrey Bogart",,"adventurer",
"FMD3","Isle of Fury","Margaret Lindsay",,,
"FMD3","Isle of Fury","Donald Woods",,,
"FMD3","Isle of Fury","Paul Graetz",,,
"FMD3","Isle of Fury","Gordon Hart",,,
"FMD3","Isle of Fury","E.E. Clive",,,
"FMD3","Isle of Fury","George Regas",,,
"FMD3","Isle of Fury","Sidney Bracy",,,
"FMD3","Isle of Fury","Tetsu Komai",,,
"FMD3","Isle of Fury","Miki Morita",,,
"FMD3","Isle of Fury","Housely Stevenson~sr.",,,
"FMD3","Isle of Fury","Frank Lackeen",,,
"FMD10","Scared Stiff","Jack Haley",,"reporter",
"FMD10","Scared Stiff","Ann Savage",,"heiress",
"FMD10","Scared Stiff","Barton MacLane",,"crook",
"FMD20","Along the Navajo Trail","Roy Rogers",,"cowboy",
"FMD20","Along the Navajo Trail","Trigger","animal","horse",
"FMD20","Along the Navajo Trail","Dale Evans",,"cowgirl",
"FMD20","Along the Navajo Trail","Gabby Hayes",,,
"FMD20","Along the Navajo Trail","Estelita Rodriguez",,"cowgirl",
"FMD20","Along the Navajo Trail","Douglas Fowley",,,
"FMD20","Along the Navajo Trail","Nestor Pavia",,,
"FMD20","Along the Navajo Trail","The Sons of the Pioneers",,"singers",
"FMe10","El Vampiro","German Robles",,"count","Lavud"
"FMe10","El Vampiro","Abel Salazar",,"hero",
"FMe12","El Ataud del Coffin","German Robles",,"count",
"FMe12","El Ataud del Coffin","Abel Salazar",,"hero",
"FMx10","American Hot Wax","Tim McIntire",,"deejay, talent scoout","Alan Freed"
"FMx10","American Hot Wax","Fran Dreschler",,"secretary",
"FMx10","American Hot Wax","Jay Leno",,"shovel-faced chauffeur",
"FMx10","American Hot Wax","Laraine Newman",,,
"FMx10","American Hot Wax","Chuck Berry","Mus","Rock-and-roller",
"FMx10","American Hot Wax","Jerry Lee Lewis",,,
"FMx10","American Hot Wax","Mossie Drier",,"twelve-year old Buddy Holly fan club leader",
"FNm5","Safety Last","Harold Lloyd",,"small town boy, climbs city skyscapern for 100dols, hangs from clock",
"FNm5","Safety Last","Mildred Davis",,,
"FNm5","Safety Last","Norah Young",,,
"FNm10","Doctor Jack","Harold Lloyd",,,
"FNm10","Doctor Jack","Mildred Davis",,,
"FNm14","Why Worry","Harold Lloyd",,,
"FNm16","Hot Water","Harold Lloyd",,,
"FNm18","Girl Shy","Harold Lloyd",,"timed, loves rich girl, saves girls dog",
"FNm18","Girl Shy","Jobina Ralson","love interest","rich girl, plans to marry a bounder",
"FNm20","The Freshman","Harold Lloyd",,,
"FoB30","Flash Gordon's Trip to Mars","Buster Crabbe",,"space pilot","Flash Gordon"
"FoB30","Flash Gordon's Trip to Mars","Joen Rodgers",,"companion","Dale Arden"
"FoB30","Flash Gordon's Trip to Mars","Frank Shannon",,"doctor","Zarkov"
"FoB30","Flash Gordon's Trip to Mars","Charles Middleton",,"alien king","Ming the Merciless"
"FoB30","Flash Gordon's Trip to Mars",,,"alien princess",
"FoB30","Flash Gordon's Trip to Mars","Richard Alexander",,"helpful alien prince",
"FoB30","Flash Gordon's Trip to Mars","Donald Kerr",,"comic","Happy Hapgood"
"FoB30","Flash Gordon's Trip to Mars","Mantague Shaw",,"clay king",
"FoB30","Flash Gordon's Trip to Mars","Beatrice Roberts",,"queen","Azura"
"FoB50","Flash Gordon Conquers the Universe","Buster Crabbe",,"space pilot","Flash Gordon"
"FoB50","Flash Gordon Conquers the Universe","Carol Hughes",,"companion","Dale Arden"
"FoB50","Flash Gordon Conquers the Universe","Frank Shannon",,"doctor","Zarkov"
"FoB50","Flash Gordon Conquers the Universe","Charles Middleton",,"alien king","Ming the Merciless"
"FoB50","Flash Gordon Conquers the Universe","Anne Gwynne",,"evil princess","sonia"
"FoB50","Flash Gordon Conquers the Universe","Roland Drew",,"helpful alien prince",
"FoB50","Flash Gordon Conquers the Universe","Donald Kerr",,"comic","Happy Hapgood"
"FoB50","Flash Gordon Conquers the Universe","Mantague Shaw",,"clay king",
"FoB50","Flash Gordon Conquers the Universe","Beatrice Roberts",,"queen","Azura"
"FoB70","The Golden Idol",,,"Arab chief, steals idol",
"FoB70","The Golden Idol","Johnny Sheffield",,"adeventurer, retrieves idol","Bomba"
"FoB70","The Golden Idol","Anne Kimbell",,,
"FoB70","The Golden Idol","Paul Guilfoyle",,,
"FOp10","Steam: The Turkish Bath","Alessandro Gasman",,"inherits bathhouse",
"FOR30","Gad Girls from Mars","Edy Williams",,"exhibitionist victim, nude",
"FOR30","Gad Girls from Mars",,,"killer transsexual",
"FOR30","Gad Girls from Mars","Jasae",,"Martian nympho",
"FOR30","Gad Girls from Mars","Brinke Stevens",,"wardrobe mistress",
"FOz20","What About Bob?","Bill Murray","psychopath","searching multiphobic",
"FOz20","What About Bob?","Richard Dreyfuss","scientist","self-centered shrink",
"FOz20","What About Bob?","Charlie Korsmo",,"shrink's son",
"FOz20","What About Bob?","Kathryn Erbe",,"shrink's daughter",
"FOz20","What About Bob?","Julie Hagerty",,"shrink's wife",
"FOz22","Housesitter","Goldie Hawn","crook","possessive housesitter",
"FOz22","Housesitter","Steve Martin","innocent","floundering architect",
"FOz22","Housesitter","Dana Delaney",,"architect's sweetheart",
"FOz22","Housesitter","Peter MacNichol","sidekick","co-architect",
"FOz22","Housesitter","Donald Moffat",,"architect's father",
"FOz22","Housesitter","Chistopher Durang","cameo, role","subversive",
"FOz22","Housesitter","Vasek Simek","cameo, role","subversive",
"FOz25","In &amp; Out","Kevin Kline","victim","high school teacher",
"FOz25","In &amp; Out","Joan Cusack",,"suffering fiancee",
"FOz25","In &amp; Out","Matt Dillon",,"student, turned movie star, embarrasses teacher",
"FOz25","In &amp; Out","Tom Selleck",,"gay journalist",
"FOz25","In &amp; Out","Bob Newhart","villain","principla",
"FOz29","The Score","Robert deNiro",,"retired safecracker","Nick"
"FOz29","The Score","Edward Norton",,"customs warehouse sweeper, organizes heist, tries to cheat Nick","Bill"
"FOz29","The Score","Angela Bassett",,"wants to sttle down with Nick",
"FOz29","The Score","Marlon Brando",,"high-level fence, solicits Nick for heist","Max"
"FOz29","The Score","Edward Norton",,"Bill';s brother, hacker, gets codes","Jack"
"FOz29","The Score","Gary Farmer",,,
"FOz29","The Score","Paul Sobel",,,
"FPy1","David and Lisa","Keir Dullea",,"disturbed boy","SFIFF"
"FPy1","David and Lisa","Janet Margolin",,"schizophrenic girl","SFIFF"
"FPy1","David and Lisa","Howard daSilva",,"psychiatrist",
"FPy1","David and Lisa","Neva Patterson",,"dominating mother",
"FPy1","David and Lisa","Clifton James",,"helpful assistant",
"FPy1","David and Lisa","Richard MacMurray",,"father",
"Fpy7","Truman Capote's Trilogy","Truman Capote",,"narrator",
"Fpy7","Truman Capote's Trilogy","Beverly Ballard",,,"Nina"
"Fpy7","Truman Capote's Trilogy","Jane Connell",,,"Mrs. Conolly"
"Fpy7","Truman Capote's Trilogy","Martin Balsam",,,"Ivor Belli"
"Fpy7","Truman Capote's Trilogy","Mildred Natwick",,,"Miss Miller"
"Fpy7","Truman Capote's Trilogy","Geraldine Page",,,
"Fpy7","Truman Capote's Trilogy","Maureen Stapleton",,"Mary OMeaghan",
"FPy8","Last Summer","Barbara Hershey",,"well-off teenager",
"FPy8","Last Summer","Richard Thomas",,,
"FPy8","Last Summer","Bruce Davidson",,,
"FPy8","Last Summer","Cathy Burns",,,"AAN"
"FPy8","Last Summer","Ernesto Gonzales",,,
"FPy8","Last Summer","Ralph Waite",,,
"FPy10","Diary of a Mad Housewife","Carrie Snodgrass",,"repressed wife, nude","Tina"
"FPy10","Diary of a Mad Housewife","Richard Benjamin",,"husband",
"FPy10","Diary of a Mad Housewife","Frank Langella",,"lover",
"FPy10","Diary of a Mad Housewife","Peter Boyle",,"in therapy",
"FPy20","Mommie Dearest","Faye Dunaway",,"movie star","Joan Crawford"
"FPy20","Mommie Dearest","Diana Scarwid",,"adopted daughter",
"FPy20","Mommie Dearest","Steve Forrest",,,
"FPy20","Mommie Dearest","Howard daSilva",,"producer","Louis B. Mayer"
"FPy22","Monsignor","Christopher Reeve","villain","priest, Irish cardinal",
"FPy22","Monsignor","Genevieve Bujold",,"nun-to-be, seduced","Clara"
"FPy22","Monsignor","Fernando Rey",,"pope",
"FPy22","Monsignor","Jason Miller",,"mafia creep",
"FPy22","Monsignor","Joe Cortese",,"cardinal's friend, black marketeer",
"FPy22","Monsignor","Adolfo Celli",,,
"FPy22","Monsignor","Leonardo Cimino",,,
"FPy30","On The Bridge","Frank Perry",,"cancer patient",
"FRa10","The Assault","Derek deLint",,"orphaned teenager",
"FRa10","The Assault","Marc vanUchelen",,,
"FRa10","The Assault","Monique vandeVen",,,
"FRa10","The Assault","John Kraaykamp",,,
"FrC1","A Thousand Clowns","Jason Robards~jr.",,"comedy writer",
"FrC1","A Thousand Clowns","Martin Balsam",,"cheerful lazy","AA,""errorR(An)/error"
"FrC1",,"Barry Gordon",,"worshipping nephew",
"FrC1","A Thousand Clowns","Barbara Harris",,,
"FrC1","A Thousand Clowns","William Daniels",,,
"FrC1","A Thousand Clowns","Gene Saks",,,
"FrC1","A Thousand Clowns","Sandy Dennis",,,"notesfactIn Stage production/fact/notes"
"FrD10","RoboCop 3","Mako",,"Japanese magnate, buys Detroit comapny",
"FrD10","RoboCop 3","Rip Torn",,"underling",
"FrD10","RoboCop 3","John Burke",,"cyborg","Robocop"
"FrD10","RoboCop 3","Remy Ryan",,"orphaned computer wiz",
"FrD10","RoboCop 3","Jill Hennessy",,"cyborg's savior",
"FrD10","RoboCop 3","Nancy Allen",,"killed",
"FrE10","The Violent Years","Jean Moorehead","villain","daughter of newspaperman, organizes gang, dies in prison",
"FrE10","The Violent Years","Barbara Weeks",,,
"FrE10","The Violent Years","Glen Corbett",,,
"FrE10","The Violent Years","Gloria Parr",,,
"FrE10","The Violent Years","Lee Constant",,,
"FrE10","The Violent Years","Art Millan",,,
"FrE10","The Violent Years","I.Stanford Jolley",,,
"FrF26","Dracula Has Risen from the Grave","Christopher Lee",,"count","Dracula"
"FrF26","Dracula Has Risen from the Grave","Rupert Davies",,,
"FrF26","Dracula Has Risen from the Grave","Veronica Carlson",,,
"FrF26","Dracula Has Risen from the Grave","Ewan Hooper",,"waek priest, releases vampire","errorR(An)/error"
"FrF26","Dracula Has Risen from the Grave","Barry Andrews",,,
"FrF26","Dracula Has Risen from the Grave","Barbara Ewins",,,
"FrF28","Girly","Vanessa Howard","psychopath","psychopath","Girly"
"FrF28","Girly","Howard Trevor","psychopath","murderous psychopath","Sonny"
"FrF28","Girly","Ursala Howells","psychopath","psychopath","Nanny"
"FrF28","Girly","Pat Heywood","psychopath","psychopath","Mumsy"
"FrF28","Girly","Michael Bryant",,"victims drunken boyfriend, assumes guilt",
"FrF30","Vampire Happening","Ferdy Mayne",,"modern vampire",
"FrF35","Tales from the Crypt","Ralph Richardson","Nar","crypt keeper",
"FrF35","Tales from the Crypt","Peter Cushing","villain","poet, seeks revenge","Grimsdyke"
"FrF35","Tales from the Crypt","Patrick Magee","victim","victimized blind man","notesepisode2/episode/notes"
"FrF35","Tales from the Crypt","Nigel Patrick","Nar","threatened","notesepisode2/episode/notes"
"FrF35","Tales from the Crypt","Joan Collins","victim","scared","notesepisode3/episode/notes"
"FrF35","Tales from the Crypt","Oliver MacGreevy","psychopath","raised Santa","notesepisode3/episode/notes"
"FrF35","Tales from the Crypt","Chloe Frank",,,"notesepisode3/episode/notes"
"FrF35","Tales from the Crypt","Ian Hendry",,"thinks he's alive","notesepisode4/episode/notes"
"FrF35","Tales from the Crypt","Richard Greene",,"brought back to life","notesepisode5/episode/notes"
"FrF40","Tales That Witness Madness","Kim Novak",,,
"FrF40","Tales That Witness Madness","Jack Hawkins",,,
"FrF40","Tales That Witness Madness","Donald Plesance",,,
"FrF40","Tales That Witness Madness","Joan Collins",,,
"FrF40","Tales That Witness Madness","Suzy Kendall",,,
"FrF40","Tales That Witness Madness","Donald Houston",,,
"FrF45","Craze","Jack Palance","psychopath","antiques dealer, weird",
"FrF45","Craze","Diana Dors",,"to be sacraficed to idol",
"FrF45","Craze","Martin Potter",,,
"FrF45","Craze","Trevor Howard",,,
"FrF45","Craze","Hugh Griffith",,,
"FrF45","Craze","Julie Ege",,,
"FrF45","Craze","Suzy Kendall",,,
"FrG10","Curse II, The Bite","Jill Schoelen","innocent, crook","girlfriend, bewildered, saved",
"FrG10","Curse II, The Bite","J.Eddie Peck",,"stud, bitten by snake, transformed",
"FrG10","Curse II, The Bite","Jamie Farr",,"doctor","Marry Morton"
"FrG10","Curse II, The Bite","Sydney Lassick",,"salesman, good samaritan",
"FrG10","Curse II, The Bite","Savina Gersak",,"motel keeper","Iris"
"FrG10","Curse II, The Bite","Sandra Sexton",,"sympathetic doctor, killed","errorR(An)/error"
"FrG10","Curse II, The Bite","Bruce Marchiano",,"deputy, killed",
"FrG10","Curse II, The Bite","Shiri Appleby",,"helpful religous man, killed",
"FrG10","Curse II, The Bite","Bo Svenson",,"sheriff",
"FrG10","Curse II, The Bite","Marianne Muellerleile",,"woman truck driver",
"FrG10","Curse II, The Bite","Terrence Evans",,"helpful religous man, killed",
"FrG10","Curse II, The Bite","Al Fann",,"gas-station attendant",
"FrG10","Curse II, The Bite","Jose Garcia",,"paranoid desert dweller ; Death Wish","errorR(An)/error"
"FrH10","After Shock","Jason Robards~jr.",,"rebel hero",
"FrH10","After Shock","Elka Kaota",,"vulnerable alien",
"FrH10","After Shock","Christopher Michtchum",,"ruthless commander",
"FrH10","After Shock","Richard Lynch",,"rebel leader",
"FrH10","After Shock","John Saxon",,"traitor",
"FrH10","After Shock","Russ Tamblyn",,"nice drink merchant, killed","errorR(An)/error"
"FrH10","After Shock","Nina deRose",,"rebel girl",
"FrH10","After Shock","Lew",,"driver",
"FrH10","After Shock","Christopher White",,"kung-fu driver",
"FRJ30","Bulldog Drummond","Ronald Colman",,"ex-war hero, adventurer","AA"
"FRJ30","Bulldog Drummond","Joan Bennett",,"damsel in distress",
"FRJ30","Bulldog Drummond","Claud Allister",,"villain","Algy"
"FRJ30","Bulldog Drummond","Lilyan Tashman",,,
"FRJ30","Bulldog Drummond","Montagu Love",,,
"FRJ30","Bulldog Drummond","Lawrence Grant",,"kidnapped uncle","errorR(An)/error"
"FRK10","Buffy the Vampire Slayer","Kristy Swanson",,"cheerleader, coopted",
"FRK10","Buffy the Vampire Slayer","Luke Perry",,"low-life student rebel boyfriend",
"FRK10","Buffy the Vampire Slayer","Donald Sutherland",,"vampire enemy",
"FRK10","Buffy the Vampire Slayer","Randall Batinkoff",,"vapid beau",
"FRK10","Buffy the Vampire Slayer","Rutger Hauer",,"aristocratic vampire",
"FRK10","Buffy the Vampire Slayer","Paul Reubens",,"vampire's sidekick",
"FRK10","Buffy the Vampire Slayer","Sarah Michelle Gellar",,,"errorAfn(Gear)/error"
"FrL10","Great Locomotive Chase","Fess Parker",,,
"FrL10","Great Locomotive Chase","Jeffrey Hunter",,,
"FrL10","Great Locomotive Chase","Jeff York",,,
"FrM1","Arachnophobia","Jeff Daniels",,"scared doctor",
"FrM1","Arachnophobia","Harley Jane Kozak",,"wife",
"FrM1","Arachnophobia","John Goodman",,"exterminator",
"FrM1","Arachnophobia","Julian Sands",,"uppity entomologist",
"FrM1","Arachnophobia","Brian McNamara",,"assistant",
"FrM1","Arachnophobia","Henry Jones",,,
"FrM1","Arachnophobia","Mary Carver",,,
"FrM6","Congo","Dylan Walsh","scientist","professor, makes gadget that lets animal talk, returns chimpanzee to Africa, rescued by chimpanzee","Dr. Elliott"
"FrM6","Congo","Laura Linney",,"ex-wife, ex-CIA, goes after lost explorers","Dr. Ross"
"FrM6","Congo","Ernie Hudson",,"tough guide","Monroe Kelly"
"FrM6","Congo","John Don Belden",,"explorer, finds diamonds, killed","Charles"
"FrM6","Congo","Grant Heslov",,"Roumanian pretend philantropist, killed","Dr. Gomolka"
"FrM6","Congo",,,"explorer, dies","Bob Driscoll"
"FrM6","Congo","Jeffrey",,,"errorSp(An)"
"FrM6","Congo","Richard Charles",,"father, industrialist","errorSp(An)/error"
"FrM6","Congo","Tim Curry",,"assistant in expedition, killed",
"FrM10","The Sixth Sense","Bruce Willis",,"psychiatrist","errorD/error"
