Frank Lovejoy,1948-1958,Lovejoy,Frank,M,1912,1962,R:tough roles,USA,,,
Linda Lovelace,1972,Marchiano,Linda,F,1952,,"R:lead, porno",USA,Er(dob 1948),
Dyson Lovell,,Lovell,Dyson,M,,,R:ty,Great Britain,,Also(P),
Raymond Lovell,1934-1953,Lovell,Raymond,M,1900,1953,R:pompous or sinister,Canada,,,
Lyle Lovett,1990-1998,Lovett,Lyle,M,1958,,R:\Agt,\US,,Mt(Julia Roberts;),
Arthur Lowe,1948-1979,Lowe,Arthur,M,1914,1982,R:rotund,Great Britain,,,
Edmund Lowe,1917-1960,Lowe,Edmund,M,1890,1971,R:suave lead,USA,,,
Rob Lowe,,,,M,[1],,RU:,\Un,[4.784],,,
Carrie Lowell,,Lowell,Carey,F,1964,,RU:,USA,,Mt(Griffin Dunne),
Robert Lowery,1937-1966,Hanks,R.L.,M,1916,1971,R:lead,USA,,,
Lynn Lowry,,,,F,[1],,RU:,\Un,,
Morton Lowry,1939-1945,Lowry,Morton,M,1908,,R:character,Great Britain,,,
Myrna Loy,1926-1981,Williams,Myrna,F,1905,1993,"R:villain, comedy, warm",USA,[4.1035],St(MGM) Aw(AA special; 1991),,,
Lisa Lu,,,,F,[1],,RU:,\Un,,
Antonella Lualdi,1952-1975,dePasquale,Antoinetta,F,1931,,R:lead,Italy,,,
Arthur Lucan,1935-1952,Towle,Arthur,M,1887,1954,R:comedian,Great Britain,,Mt(Kitty McShane),
Lisa Lucas,,,,F,[1],,RU:,\Un,,
Wilfred Lucas,1955-1963,Lucas,Wilfred,M,1926,,R:lead,Great Britain,,,
Deborah Luce,,,,F,[1],,RU:,\Un,,
Corinne Luchaire,1938-1938,Luchaire,Corinne,F,1921,1950,RU:,France,,,
Laurence Luckinbill,1970-1980,Luckinbill,Laurence,M,1934,,R:lead,USA,,,
Charles Ludlam,1971,Ludlam,Charles,M,19aa,1987,R:sr,,,,
Lorna Luft,,,,F,[1],,RU:,\Un,,Si(Liza Minelli),
Bela Lugosi,1923-1956,Blasko,Bela Ferenc,M,1882,1956,R:dracula,Hungary,[4.290],,,
Paul Lukas,1928-1968,Lukacs,Pal,M,1887,1971,R:suave lead,Hungary,"[4.504, 280]",Ww(Hitchcock),
Jorge Luke,,,,M,[1],,RU:,\Un,,
Keye Luke,1934-1978,Luke,Keye,M,1904,1991,RU:,China,,Ty(Charlie Chans No.2 son),
Aldrick Lukes,,,,M,[1],,RU:,\Un,,
Folco Lulli,1947-1966,Lulli,Folco,M,1912,1970,R:character,Italy,,,
Lulu,1965-1972,Lawrie,Marie,F,1948,,R:pop singer,Great Britain,,,
Joanna Lumley,1968-1983,Lumley,Joanna,F,1946,,R:lead,Great Britain,,,
Dayton Lummis,1952-1956,Lummis,Dayton,M,1903,,R:character,USA,,,
Barbara Luna,1960-1969,Luna,Barbara,F,1937,,R:beautiful foreigners,USA,,,
Art Lund,1968,London,Arthur,M,1915,1990,R:big,,,Ww(Benny Goodman),
John Lund,1946-1960,Lund,John,M,1913,1992,R:stodgy,USA,,,
Alfred Lunt,1923-1943,Lund,Alfred,M,1892,1977,R:distinguished,USA,,Mt(Lynn Fontanne),
Ida Lupino,1933-1976,Lupino,Ida,F,1914,,R:fraught attractive,Great Britain,"[4.53,266]","Ch(Stanley Lupino) Mt(Louis Hayward;A, Collier Young;P, Howard Duff; A)Also(D)",
Stanley Lupino,1932-1939,Lupino,Stanley,M,1893,1932,R:comedian,Great Britain,,Pa(Ida Lupino) Also(D),
Paul Lupone,,,,M,[1],,RU:,\Un,,
Alfred Lutter,,,,M,[1],,RU:,\Un,,
Thuy An Luu,1981,,,F,1967,,R:tootsie,,,
Jimmy Lydon,1938-1958,Lydon,James,M,1923,,R:gangling,USA,,,
Viola Lyel,1930-1956,Lyel,Viola,F,1900,1972,R:comedy actress,Great Britain,,,
Alfred Lynch,1961-1968,Lynch,Alfred,M,1933,,R:cockney private,Great Britain,,,
Richard Lynch,1973-1982,Lynch,Richard,M,1936,,R:haughty evil,USA,,,
Paul Lynde,1953-1973,Lynde,Paul,M,1926,1982,R:flustered funny-voiced,USA,,,
Robert Lynen,1932-1938,Lynen,Robert,M,1921,1944,R:child,France,,Nt(executed by Nazis),
Carol Lynley,1958-1983,Lynley,Carol,F,1942,,R:clean,USA,[34.249],Ww(Hitchcock),
Ann Lynn,1960-1969,Lynn,Ann,F,1934,,RU:,Great Britain,,Ch(Robert Lynn; D),
Diana Lynn,1939-1971,Loehr,Dolores,F,1926,1971,"R:pert, witty",USA,,,
Jeffrey Lynn,1938-1967,Lind,Ragnar,M,1909,,R:varied,USA,,,
Leni Lynn,1943-1946,Lynn,Leni,F,1925,,R:singer,USA,,Nt(worked in GB),
Ralph Lynn,1930-1937,Lynn,Ralph,M,1882,1964,R:silly monocled ass,Great Britain,,Ty(Bertie Wooster) Pa(Robert Lynn; D),
Sharon Lynn,1929-1941,Lynn,Sharon,F,1910,1963,R:lead,USA,,,
Vera Lynn,1944-1945,Lynn,Vera,F,1921,,R:singer,Great Britain,,"Nt(the Forces Sweetheart of WWII: We'll meet again, ...)",
Ben Lyon,1919-1954,Lyon,Ben,M,1901,1979,R:amiable,USA,,Mt(Bebe Daniels),
Sue Lyon,1962-1978,Lyon,Sue,F,1946,,R:sexy juvenile,USA,[9.213],,,
Tom Lyons,,,,M,[1],,RU:,\Un,,
Bert Lytell,1917-1943,Lytell,Bert,M,1888,1954,R:silent lead,USA,,,
