stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Dan Rowan,1957-1969,Rowan,Dan,M,1922,1987,R:comedian,USA,Ww(Dick Martin),
Gena Rowlands,1958-1980,Rowlands,Virginia,F,1934,,R:lead,USA,[34.253],Mt(John Cassavetes) Ww(Hitchcock),
Patsy Rowlands,1961-1976,Rowlands,Patsy,F,1934,,R:character comedienne,Great Britain,,,
Lionel Royce,1940,Royce,,M,"[1,6]",,RU:,Great Britain,,,
Christian Rub,1932-1952,Rub,Christian,M,1887,1956,R:character,Austria,,,
Alma Rubens,1915-1929,Smith,Alma,F,1897,1931,R:silent lead,USA,,,
Saul Rubinek,,,,M,[1][23],,RU:,\Un,,
John Rubinstein,1970-1978,Rubinstein,John,M,,,R:character,USA,,,
Paul Rudd,,Rudd,Paul,M,1970,,R:sexy,,,
Herbert Rudley,1939-1968,Rudley,Herbert,M,1911,,R:supporting,USA,,,
Rita Rudner,1992w,Rudner,Rita,F,,,R:sr,,,Also(W) mr(Martin Bergman),
Mercedes Ruehl,1992,Ruehl,Mercedes,F,~1992,,R:warmheated,USA,,,,
Charles Ruggles,1915-1966,Ruggles,Charles,M,1886,1970,R:character comedian,USA,,Si(Wesley Ruggles),
Heinz Ruhmann,1926-1965,"R\""uhmann",Heinz,M,1902,,R:lead,Germany,,,
Barbara Ruick,1951-1974,Ruick,Barbara,F,1933,1973,R:lead,USA,,,
Janice Rule,1951-1982,Rule,Janice,F,1931,,R:lead,USA,,,
Sig Ruman,1935-1966,Rumann,Siegfried,M,1884,1967,R:explosive,USA,,,
John Rumar,,,,M,[1][23],,RU:,\Un,,
Jenny Runacre,1969-1979,Runacre,Jenny,F,1943,,R:character,South Africa,,,
Jennifer Runyon,,,,F,[1][23],,RU:,\Un,,
Rupaul,1993,bn,gn,M,19aa,,R:tall transvestite musician,USA,,,
Barbara Rush,1951-1981,Rush,Barbara,F,1927,,R:lead,USA,,,
Deborah Rush,,,,F,[1][23],,RU:,\Un,,
Elizabeth Rush,,,,F,[1][23],,RU:,\Un,,
William Russ,,,,M,[1][23],,RU:,\Un,,
Del Russel,1963,Russel,Del,M,1952,,RU:,USA,,,
Theresa Russel,1991,Russell,Theresa,F,1957,,R:prostitute,USA,,Mt(Nicolas Roeg) Er(bn),
Betsy Russell,,,,F,[1][23],,RU:,\Un,,
Craig Russell,,,,M,[1][23],,RU:,\Un,,
Gail Russell,1943-1961,Russell,Gail,F,1924,1961,R:shy lead,USA,,Lw(John Waybe) Mt(Guy Madison;),
Harold Russell,1946-1980,Russell,Harold,M,1914,1992+,R:armless vet,Canada,,"Note(sold Oscar 1n 1992 for $60,500)",
Jane Russell,1943-1970,Russell,Jane,F,1921,1990+,R:busty,USA,[4.788],,,
John Russell,1939-1970,Russell,John,M,1921,,R:second lead,USA,,,
Ken Russell,,Russell,Ken,M,,,R:handicapped,USA,,,
Kurt Russell,1960-1976,Russell,Kurt,M,1951,,R:boy actor,USA,Er(1947),
Lillian Russell,1974-1974,Leonard,Helen Louise,F,1861,1922,R:statuesque singer,USA,,,
Nipsey Russell,1978,Russell,Nipsey,F,1925],,RU:,USA,,,
Rosalind Russell,1934-1972,Russell,Rosalind,F,1908,1976,R:dominant lead,USA,[4.196],,,
Gianni Russo,,,,M,[1][23],,RU:,\Un,,
Rene Russo,Russo,Rene,1993,,F,1955,,R:smart,USA,,,,
Ann Rutherford,1938-1972,Rutherford,Ann,F,1917,,R:lead,USA,,,
Dame Margaret Rutherford,1936-1968,Rutherford,Margaret,F,1892,1972,"R:garrulous, shapeless, endearing",Great Britain,,,
Basil Ruysdael,1929-1960,Ruysdael,Basil,M,1888,1960,R:character,USA,,,
Fran Ryan,,,,F,[1][23],,RU:,\Un,,
Irene Ryan,1941-1957,Riordan,Irene,F,1903,1973,R:wiry comedienne,USA,,,
James Ryan,,,,M,[1][23],,RU:,\Un,,
John Ryan,1965-1976,Ryan,John P.,M,1938,,R:lead,USA,,,
Kathleen Ryan,1947-1958,Ryan,Kathleen,F,1922,1985,R:lead,Ireland,,,
Meg Ryan,,,,F,[1][23],,RU:,\Un,,
Mitch Ryan,1979-1980,Ryan,Mitchell,M,1928,,R:stalwart character,USA,,,
Peggy Ryan,1937-1980,Ryan,Peggy,F,1924,,R:teenage comedienne,USA,,,
Robert Ryan,1940-1974,Ryan,Robert,M,1909,1973,R:strong-featured lead,USA,[4.247],,,
Sheila Ryan,1944-1953,McLaughlin,Katherine,F,1921,1975,R:light lead,USA,,,
Tim Ryan,1940-1956,Ryan,Tim,M,1889,1956,R:comedy supporting,USA,,,
Raisa Ryazonova,,,,F,[1][23],,RU:,\Un,,
David Rydall,,,,M,[1][23],,RU:,\Un,,
Bobby Rydell,1963-1963,Rydell,Bobby,M,1942,,R:pop star,USA,,,
Mark Rydell,1973,,,M,1934,,R:gangster,USA,,Mainly(DP),
Winona Ryder,1986-1993,Winona,Horowitz,F,1971,,R:sepulchral,USA,,,"Mt(Johnny Depp, Johnny Depp,)",
Jack Ryland,,,,M,[1][23],,RU:,\Un,,
