stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Nancy Guild,1946-1971,Guild,Nancy,F,1925,199x,R:lead,USA,,,
Paul Guilfoyle,1936-1955,Guilfoyle,Paul,M,1902,1961,"R:sly, sinister",USA,,,
Jack Guilford,,Guilford,Jack,M,[1],1990,RU:,USA,,,
Robert Guillaume,1979-1980,Guillaume,Robert,M,,199x,R:lead,USA,,,
Fernando Guill\'en,,,,M,[1],199x,RU:,\Un,,
Alec Guinness,1933-1983,Guinness,Sir Alec,M,1914,199x,R:character,Great Britain,,"AA special, 1980",
Clu Gulager,1964-1980,Gulager,Clu,M,1929,199x,R:devious,USA,[34.249],Ww(Hitchcock),
Moses Gunn,1970-1982,Gunn,Moses,M,1929,1993,RU:,USA,,,
Robert Gunner,,,,M,[1],199x,RU:,\Un,[4.136],,,
Sigrid Gurie,1938-1948,Gurie,Sigrid,F,1911,1969,R:lead,USA-\No,,,
Ray Guth,,,,,[1],199x,RU:,\Un,,
Steve Guttenberg,,,,M,[1],199x,RU:,\Un,[4.934],,,
The Little Tough Guys,1938,n.a.,n.a.,G,1938,199x,R:young hooligans,USA,,"Ct(Hally Chester, Billy Halop, Bernard Punsley, Huntz Hall, Gabriel Dell, Frankie Seal)",
Edmund Gwenn,1916-1957,Gwenn,Edmund,M,1875,1959,"R:nice, stocky comic",Great Britain,,Ww(Hitchcock),
Jack Gwillin,,,,M,[1],199x,RU:,\Un,,
Anne Gwynne,1939-1957,Trice,Marguerite Gwynne,F,1918,199x,R:lead,USA,,,
Fred Gwynne,1954-1992,Gwynne,Frederick Hubbard,M,1927,1993,R:straight comic,USA,"Ty(TV: Car54, Munsters)",
Michael Gwynne,1954-1969,Gwynne,Michael,M,1916,1976,RU:,Great Britain,,,
Peter Gwynne,,,,M,[1],199x,RU:,\Un,,
Greta Gynt,1939-1966,Gynt,Greta,F,1916,199x,R:lead,\No,,,
