Frederick Worlock,1939-1966,Worlock,Frederick,M,1886,1973,R:character,Great Britain,,,
Mary Woronov,1982,,,F,[1],,R:kinky,,,"Ph(H:5'11"")",
Brian Worth,1939-1967,Worth,Brian,M,1914,1978,R:light lead,Great Britain,,,
Irene Worth,1948-1982,Worth,Irene,F,1916,,R:lead,USA,,,
Fay Wray,1928-1953,Wray,Fay,F,1907,,R:great screamer,USA,[18.207]
John Wray,1930-1940,Malloy,John,M,1890,1940,R:general purpose,USA,,,
Marie Wright,,,,F,[1],,RU:,,,Cit(1),
Michael Wright,,,,M,[1],,RU:,,,Cit(1),
Robin Wright,1997,Wright,Robin,F,,,R:feisty,USA,,Mt(Sean Penn),
Teresa Wright,1941-1980,Wright,Teresa,F,1918,,R:lead,USA,,Mt(Niven Busch; W),
Tony Wright,1951-1972,Wright,Tony,M,1925,,R:light lead,Great Britain,,,
Will Wright,1936-1962,Wright,Will,M,1894,1962,R:lugubrious,USA,,,
Vivian Wu,1987-1997,Wu,Vivian,F,,,R:romantic,China,,,
Maris Wrixon,1938-1951,Wrixon,Maris,F,1917,,R:light lead,USA,,,
Jane Wyatt,1934-1976,Wyatt,Jane,F,1912,,R:pleasing,USA,,,
Margaret Wycherly,1929-1953,Wycherly,Margaret,F,1881,1956,R:character,Great Britain,,,
Sandy Wyeth,,,,,[1],,RU:,,,Cit(1),
Richard Wyler,1948-1968,Stapley,Richard,M,1934,,R:lead,USA,,,
Jane Wyman,1936-1981,Faulks,Sarah Jane,F,1914,,R:blonde,USA,,Ww(Hitchcock),
Bill Wyman,,Wyman,William,M,1939,,R:member of Rolling Stones,USA,,"Mt(, Mandy Smith, Suzanne Accosta) Pa(Stephen Wyman)",
Stephen Wyman,,Wyman,Stephen,M,1963,,RU:,USA,,Mt(Patsy Smith Pa(Mandy Smith)),
Patrick Wymark,1960-1970,Cheesman,Patrick,M,,,RU:,Great Britain,,,
Patrice Wymore,1950-1966,Wymore,Patrice,F,1926,,R:lead,USA,,,
Dennis Wyndham,,,,M,[1],,RU:,,,Cit(2),
Ed Wynn,1927-1967,Leopold,Isaiah Edwin,M,1886,1966,R:character,USA,,,
Keenan Wynn,1944-1959,Wynn,Keenan,M,1916,1986,R:gambler,USA,[34.133],Ch(Ed Wynn)Ww(Hitchcock),
May Wynn,1954-1959,Hickey,Donna Lee,F,1931,,R:lead,USA,,,
Greg Wynne,,,,M,[1],,RU:,,,Cit(0),
Dana Wynter,1951-1973,Wynter,Dagmar,F,1930,,R:lead,Great Britain,,,
Diana Wynyard,1932-1957,Cox,Dorothy Isobel,F,1906,1964,R:distinguished,Great Britain,[4.504],,,
